English;Polish
part;part
history;historia
search;szukać
only;tylko
police;policja
thought;myśl
help;Pomoc
request;prosić
kind;rodzaj
month;miesiąc
brother;brat
let;pozwalać
because;ponieważ
to put;umieścić
no;Nie
leash;smycz
them;je
city;miasto
each;każdy
speak;mówić
come;Co
should;powinien
baby;niemowlę
long time;długi czas
hours;Godzin
will;wola
while;chwila
meet again;Spotkaj się ponownie
any;jakikolwiek
square;kwadratowy
speak;mówić
understood;Rozumieć
knew;Wiedział
were;Zostały
Warning;Ostrzeżenie
here is;Oto
could;Może
case;przypadek
give;dać
type;typ
their;ich
given;dany
train;pociąg
body;ciało
place;miejsce
eyes;oczy
way;droga
listen;słuchać
whose;czyj
find;znaleźć
first;pierwszy
lost;zaginiony
hand;ręka
first;pierwszy
side;bok
power;moc
old;stary
be;być
here;tu
morning;Rano
so much;tyle
child;dziecko
point;punkt
came;Przyszedł
after;po
sorry;przepraszam
come;Co
in front of;przed
towards;ku
minutes;protokół
request;prosić
bedroom;sypialnia
placed;Umieszczone
beautiful;piękny
law;prawo
would like to;chciałby
today;Dzisiaj
husband;mąż
cause;przyczyna
finally;w końcu
hope;nadzieja
water;Woda
Wait;Czekać
left;Lewy
new;Nowy
job;zadanie
Stop;Zatrzymać
would say;powiedziałbym, że
Earth;Ziemia
account;rachunek
given;dany
far;daleki
end;koniec
believe;wierzyć
sweetheart;kochanie
large;duży
rather;raczej
will have;będzie miał
girls;Dziewczyny
to play;do gry
office;biuro
